Process	Parent_process
Acetylcholine-mediated control of postsynaptic potential	Control of postsynaptic potential
Acetyl-CoA transport across ER membrane	Acetyl-CoA transmembrane transport
Acetyl-CoA transport across mitochondrial membrane	Acetyl-CoA transmembrane transport
Acetyl-CoA transport across plasma membrane	Acetyl-CoA transmembrane transport
Actin filament bundling and crosslinking	Actin filament dynamics
Actin filament capping	Actin filament dynamics
Actin filament nucleation and branching	Actin filament dynamics
Actin filament severing and depolymerization	Actin filament dynamics
Actin polymerization	Actin filament dynamics
Activin receptor signaling	TGF-beta superfamily signaling
Acute-phase response	Blood protein dynamics
Adenylyl cyclase signaling cascade	Intracellular common signaling cascades of multiple pathways
Adherens junction organization	Cell-cell junction organization
Adiponectin receptor signaling	Signaling pathways involved in glucose and lipid homeostasis
Adrenocorticotropic hormone receptor signaling	Signaling pathways regulating steroid and sex hormone synthesis
Aggrecan synthesis	Proteoglycan synthesis
Albumin mediated blood protein transport	Blood protein dynamics
Alpha 1 adrenergic receptor signaling	Signaling pathways regulating cardiovascular homeostasis
Alpha 2 adrenergic receptor signaling	Signaling pathways regulating cardiovascular homeostasis
Alternative complement pathway	Complement pathway and regulation
Alternative end joining DSB repair	DNA double-strand break repair
Amination of alpha-keto acids and deamination of amino acids	Ammonium metabolism
Amine transmembrane transport	Ammonium metabolism
Ammonium transmembrane transport	Ammonium metabolism
Amyloid plaque organization	Amyloid generation and aggregation
Amyloid precursor protein cleavage	Amyloid generation and aggregation
Anchoring of nuclear membrane to cytoskeleton	Interphase nucleus and nuclear chromatin organization
Androgen receptor signaling	Steroid and sex hormone signaling
Androgen synthesis	Steroid hormone synthesis
Angiotensin receptor signaling	Signaling pathways regulating cardiovascular homeostasis
Anterograde vesicle traffic from ER to Golgi	Vesicle traffic between ER and TGN
Antidiuretic hormone receptor signaling	Signaling pathways regulating water homeostasis
Antigen presentation via MHC class I molecules	Antigen presentation
Antigen presentation via MHC class II molecules	Antigen presentation
Apoptosis caspase pathway	Apoptosis
Apoptosome assembly	Apoptosis
Apoptotic DNA degradation and nuclear disassembly	Apoptosis
Aspartate and arginine metabolism	Metabolism of non-essential amino acids
Axonal intermediate filament dynamics	Cytoplasmic intermediate filament and septin dynamics
B cell receptor signaling	Immune receptor Signaling
Base excision repair	DNA single-strand break repair
Basement membrane assembly and organization	Basement membrane dynamics
Basement membrane attachment to cell surface	Basement membrane dynamics
Basement membrane collagen IV breakdown	Extracellular matrix breakdown
Beta adrenergic receptor signaling	Signaling pathways regulating cardiovascular homeostasis
Betaglycan signaling	TGF-beta superfamily signaling
Beta-oxidation	Fatty acid metabolism
Bicarbonate transport across ER membrane	Cellular pH homeostasis
Bicarbonate transport across mitochondrial membrane	Cellular pH homeostasis
Bicarbonate transport across plasma membrane	Cellular pH homeostasis
Biglycan synthesis	Proteoglycan synthesis
Bile acid secretion and re-absorbtion	Metabolism and transport of cholesterol, steroids and bile acids
Bile acid synthesis from cholesterol	Metabolism and transport of cholesterol, steroids and bile acids
Bilirubin conjugation	Heme and hemoglobin metabolism
Biotin metabolism	Metabolism of water-soluble vitamins
Bone morphogenetic protein receptor signaling	TGF-beta superfamily signaling
Bradykinin receptor signaling	Kinin–kallikrein system
Brain derived neurotrophic factor receptor signaling	Neuronal signaling pathways
Bulk cytoplasmic mRNA deadenylation	RNA surveillance and degradation
Cadherin mediated mechanotransduction	Mechanotransduction
Calcineurin-NFAT signaling cascade	Intracellular common signaling cascades of multiple pathways
Calcitonin receptor signaling	Signaling pathways regulating calcium homeostasis
Calcium sequestration in endoplasmic reticulum	Cellular calcium homeostasis
Calcium sequestration in mitochondria	Cellular calcium homeostasis
Calcium transport across ER membrane	Cellular calcium homeostasis
Calcium transport across mitochondrial membrane	Cellular calcium homeostasis
Calcium transport across plasma membrane	Cellular calcium homeostasis
CAM kinase signaling cascade	Intracellular common signaling cascades of multiple pathways
Cannabinoid receptor signaling	Neuronal signaling pathways
Cardiomyocyte depolarization during action potential	Cardiomyocyte action potential generation and propagation
Cardiomyocyte pacemaker current generation	Cardiomyocyte action potential generation and propagation
Cardiomyocyte repolarization during action potential and hyperpolarization	Cardiomyocyte action potential generation and propagation
Carnitine biosynthesis and transport	Fatty acid metabolism
Catecholamine metabolism	Metabolism of phenylalanine products
Caveolae microdomains	Plasma membrane microdomains
Caveolin-mediated endocytosis	Endocytic pathway
CCN intercellular signaling protein family receptor signaling	Matricellular protein signaling
CD44-Mediated leukocyte rolling	Rolling cell adhesion
Cell cycle arrest in response to DNA damage	Mitotic cell cycle checkpoints
Cellular cholesterol uptake and efflux	Metabolism and transport of cholesterol, steroids and bile acids
Cellular circadian clock dynamics at day	Cellular circadian clock dynamics
Cellular circadian clock dynamics at night	Cellular circadian clock dynamics
Cellular fatty acid uptake	Fatty acid metabolism
Cellular HDL cholesterol uptake	Reverse cholesterol transport
Cellular iron storage	Iron homeostasis
Cellular iron uptake	Iron homeostasis
Centriolar satelites organization	Microtubule organization center dynamics
Centrosome duplication	Centrosome cycle
Centrosome maturation	Centrosome cycle
Centrosome organization	Microtubule organization center dynamics
Centrosome separation	Centrosome cycle
Chaperone mediated protein folding in ER	Post-translational protein modification and quality control during biosynthetic-secretory pathway
Chaperone-mediated autophagy	Autophagy
Chloride transport across ER membrane	Cellular chloride homeostasis
Chloride transport across mitochondrial membrane	Cellular chloride homeostasis
Chloride transport across plasma membrane	Cellular chloride homeostasis
Cholesterol esterification	Metabolism and transport of cholesterol, steroids and bile acids
Cholesterol esterification within HDL particle	Reverse cholesterol transport
Cholesterol synthesis	Metabolism and transport of cholesterol, steroids and bile acids
Cholesterol-sensitive control of SREBP activation	Metabolism and transport of cholesterol, steroids and bile acids
Cholesteryl ester and triglyceride exchange between HDL and other lipoprotein particles	Reverse cholesterol transport
Choline-like transmembrane transporter	Not assigned - level2
Chondroitin sulfate and dermatan sulfate synthesis	Glycosaminoglycan synthesis
Chromatin organization by insulator proteins	Interphase nucleus and nuclear chromatin organization
Chromatin organization by Polycomb repressive complexes	Interphase nucleus and nuclear chromatin organization
Chromatin organization by transcription factories	Interphase nucleus and nuclear chromatin organization
Chromatin targeting to lamina	Interphase nucleus and nuclear chromatin organization
Chylomicron remnant clearance	Exogenous lipoprotein metabolic pathway
Chylomicron synthesis and secretion	Exogenous lipoprotein metabolic pathway
Ciliary transition zone organization	Eukaryotic cilium and flagellum organization
Citric acid cycle	Mitochondrial energy production
Class switch recombination	DNA recombination
Classical complement pathway	Complement pathway and regulation
Clathrin-mediated endocytosis	Endocytic pathway
Clathrin-mediated vesicle traffic from TGN to endosomal lysosomal system	Vesicle traffic between TGN and endosome
Cleavage of ER signal peptide	Endoplasmic reticulum membrane protein insertion and import
Clock mediated control of cell differentiation	Circadian clock mediated cellular regulation
Clock mediated control of cell division	Circadian clock mediated cellular regulation
Clock mediated immune response	Circadian clock mediated cellular regulation
CO2 homeostasis	Cellular pH homeostasis
Coagulation cascade	Coagulation cascade and its regulation
Coagulation factor synthesis and vitamin K metabolism	Coagulation cascade and its regulation
Cobalamin metabolism	Metabolism of water-soluble vitamins
Collagen fiber crosslinking	Collagen biosynthesis
Collagen fibril organization by fibril-associated bridges	Collagen biosynthesis
Connection of muscle sarcomere to extracellular matrix	Myofibril formation and organization
Connection of muscle sarcomere to plasma membrane	Myofibril formation and organization
Conservative site-specific recombination	DNA recombination
Contractile ring constriction	Cytokinesis
Contractile ring formation	Cytokinesis
Copper transport across ER membrane	Cellular copper homeostasis
Copper transport across mitochondrial membrane	Cellular copper homeostasis
Copper transport across plasma membrane	Cellular copper homeostasis
Corticotropin-releasing hormone receptor signaling	Signaling pathways regulating steroid and sex hormone synthesis
Co-translational translocation membrane protein insertion and import	Endoplasmic reticulum membrane protein insertion and import
C-type lectin receptor signaling	Pattern recognition signaling
Cytoplasmic core snRNP assembly	snRNA expression and spliceosome generation
Cytoplasmic decapping of deadenylated mRNA	RNA surveillance and degradation
Cytoplasmic Dicer-mediated microRNA and endogenous siRNA processing	miRNA and endogenous siRNA biogenesis
Cytoplasmic mRNA polyadenylation	RNA surveillance and degradation
Cytoplasmic processing bodies scaffold organization	RNA surveillance and degradation
Cytoplasmic protein acetylation and deacetylation	Cytoplasmic post-translational protein modification
Cytoplasmic protein folding	Cytoplasmic post-translational protein modification
Cytoplasmic protein tyrosination and detyrosination	Cytoplasmic post-translational protein modification
Decorin synthesis	Proteoglycan synthesis
Desaturation of fatty acids	Fatty acid metabolism
Desmosome organization	Cell-cell junction organization
